IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.38.245,2052,2052,false,NRT,Asia Pacific,Tokyo,80,10.60
158.101.65.24,2053,2053,true,SIN,Asia Pacific,Singapore,162,10.60
158.179.176.239,80,80,false,LAX,North America,Los Angeles,196,10.60
168.138.205.195,2052,2052,false,NRT,Asia Pacific,Tokyo,79,10.60
138.2.25.122,2052,2052,false,NRT,Asia Pacific,Tokyo,122,10.60
141.147.182.70,2086,2086,false,NRT,Asia Pacific,Tokyo,129,10.59
141.148.235.103,443,443,true,FRA,Europe,Frankfurt,185,10.55
152.70.107.26,2082,2082,false,HKG,Asia Pacific,Hong Kong,188,10.55
138.2.130.14,443,443,true,FRA,Europe,Frankfurt,225,10.54
138.2.11.179,8443,8443,true,NRT,Asia Pacific,Tokyo,123,10.54
168.138.209.84,8880,8880,false,HKG,Asia Pacific,Hong Kong,148,10.53
144.24.168.25,443,443,true,FRA,Europe,Frankfurt,185,10.51
141.147.169.195,8080,8080,false,NRT,Asia Pacific,Tokyo,133,10.51
168.138.198.202,2053,2053,true,NRT,Asia Pacific,Tokyo,133,10.50
168.138.198.202,8443,8443,true,NRT,Asia Pacific,Tokyo,102,10.50
140.83.37.200,2086,2086,false,NRT,Asia Pacific,Tokyo,86,10.50
89.168.115.171,443,443,true,FRA,Europe,Frankfurt,171,10.50
141.147.179.64,2086,2086,false,NRT,Asia Pacific,Tokyo,86,10.48
168.138.217.146,2095,2095,false,SIN,Asia Pacific,Singapore,151,10.48
150.230.107.197,2082,2082,false,SIN,Asia Pacific,Singapore,154,10.48
130.162.223.171,443,443,true,FRA,Europe,Frankfurt,178,10.47
140.238.54.149,2082,2082,false,LAX,North America,Los Angeles,242,10.47
89.168.118.93,443,443,true,FRA,Europe,Frankfurt,198,10.47
140.238.33.165,80,80,false,NRT,Asia Pacific,Tokyo,123,10.46
141.147.160.221,2095,2095,false,NRT,Asia Pacific,Tokyo,136,10.46
84.235.166.3,443,443,true,FRA,Europe,Frankfurt,172,10.45
168.138.196.164,2087,2087,true,HKG,Asia Pacific,Hong Kong,186,10.45
152.70.98.174,2083,2083,true,SIN,Asia Pacific,Singapore,196,10.45
140.238.36.216,2086,2086,false,NRT,Asia Pacific,Tokyo,122,10.45
168.138.205.195,2082,2082,false,NRT,Asia Pacific,Tokyo,92,10.45
151.145.69.174,2082,2082,false,SIN,Asia Pacific,Singapore,156,10.44
132.226.9.173,2095,0,false,SIN,Asia Pacific,Singapore,211,10.44
141.147.169.195,2086,2086,false,NRT,Asia Pacific,Tokyo,128,10.43
130.162.239.140,443,443,true,FRA,Europe,Frankfurt,188,10.42
150.230.105.53,8080,8080,false,SIN,Asia Pacific,Singapore,201,10.42
138.2.20.48,2083,2083,true,NRT,Asia Pacific,Tokyo,123,10.42
168.138.196.164,2053,2053,true,HKG,Asia Pacific,Hong Kong,192,10.41
151.145.68.166,8443,8443,true,LAX,North America,Los Angeles,308,10.41
152.70.106.21,8443,8443,true,NRT,Asia Pacific,Tokyo,103,10.41
130.162.247.114,443,443,true,FRA,Europe,Frankfurt,188,10.41
158.101.211.184,443,443,true,FRA,Europe,Frankfurt,174,10.40
158.178.155.242,443,443,true,FRA,Europe,Frankfurt,169,10.40
150.230.98.39,2095,2095,false,NRT,Asia Pacific,Tokyo,76,10.39
141.148.229.226,443,443,true,FRA,Europe,Frankfurt,221,10.38
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,169,10.38
158.179.189.235,2053,2053,true,NRT,Asia Pacific,Tokyo,133,10.37
150.230.101.125,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.37
151.145.75.28,2095,2095,false,NRT,Asia Pacific,Tokyo,125,10.36
141.147.96.217,443,443,true,FRA,Europe,Frankfurt,221,10.35
143.47.179.150,443,443,true,FRA,Europe,Frankfurt,229,10.35
140.238.52.81,2083,2083,true,LAX,North America,Los Angeles,261,10.35
151.145.71.40,2052,2052,false,NRT,Asia Pacific,Tokyo,75,10.34
158.179.189.235,2083,2083,true,NRT,Asia Pacific,Tokyo,84,10.33
158.101.92.156,2083,2083,true,LAX,North America,Los Angeles,230,10.33
141.147.186.210,2096,2096,true,SIN,Asia Pacific,Singapore,217,10.33
158.101.70.155,80,80,false,SIN,Asia Pacific,Singapore,157,10.33
150.230.108.135,2086,2086,false,SIN,Asia Pacific,Singapore,154,10.32
151.145.65.203,2095,2095,false,SIN,Asia Pacific,Singapore,159,10.32
141.147.118.188,443,443,true,FRA,Europe,Frankfurt,187,10.31
150.230.107.197,2086,2086,false,HKG,Asia Pacific,Hong Kong,192,10.30
141.148.246.187,443,443,true,FRA,Europe,Frankfurt,175,10.29
141.148.242.213,443,443,true,FRA,Europe,Frankfurt,200,10.29
141.147.179.64,2053,2053,true,NRT,Asia Pacific,Tokyo,124,10.29
158.101.200.177,443,443,true,FRA,Europe,Frankfurt,162,10.29
140.83.36.42,2087,2087,true,SIN,Asia Pacific,Singapore,195,10.29
168.138.205.38,8443,8443,true,NRT,Asia Pacific,Tokyo,172,10.26
89.168.77.146,443,443,true,FRA,Europe,Frankfurt,235,10.26
141.147.174.190,2095,2095,false,NRT,Asia Pacific,Tokyo,87,10.26
138.2.14.209,2086,2086,false,NRT,Asia Pacific,Tokyo,134,10.25
140.238.41.167,2087,2087,true,SIN,Asia Pacific,Singapore,203,10.25
141.148.242.221,443,443,true,FRA,Europe,Frankfurt,181,10.24
168.138.211.217,2086,2086,false,NRT,Asia Pacific,Tokyo,81,10.24
140.238.36.216,2083,2083,true,NRT,Asia Pacific,Tokyo,92,10.24
193.122.49.220,443,443,true,FRA,Europe,Frankfurt,179,10.21
168.138.212.40,2086,2086,false,SIN,Asia Pacific,Singapore,200,10.21
168.138.211.131,80,80,false,SIN,Asia Pacific,Singapore,172,10.21
140.238.62.12,2087,2087,true,SIN,Asia Pacific,Singapore,199,10.20
140.238.32.238,2087,2087,true,SIN,Asia Pacific,Singapore,195,10.20
168.138.207.64,2086,2086,false,SIN,Asia Pacific,Singapore,213,10.20
138.2.31.68,2082,2082,false,HKG,Asia Pacific,Hong Kong,138,10.19
158.179.178.142,2082,2082,false,NRT,Asia Pacific,Tokyo,126,10.19
168.138.200.159,2082,2082,false,SIN,Asia Pacific,Singapore,153,10.18
158.101.68.100,2052,2052,false,SIN,Asia Pacific,Singapore,154,10.18
141.144.197.120,443,443,true,FRA,Europe,Frankfurt,193,10.18
158.101.68.100,2087,2087,true,HKG,Asia Pacific,Hong Kong,195,10.17
